"anio","tipo_energia","valor_en_twh","porcentaje"
"1998","Gas natural","22433.998","19.02473711"
"1998","Hidro","7632.345","6.472469025"
"1998","Nuclear","6898.552","5.850189442"
"1998","Otras renovables","520.55","0.4414428"
"1998","Petróleo","41670.18","35.3376255"
"1998","Solar","2.4006376","0.002035816"
"1998","Total","117920.1472","100.0"
"1999","Biocombustibles","135.43088","0.112903604"
"1999","Biomasa tradicional ","12414.0","10.34908246"
"1999","Carbón","26485.373","22.07985413"
"1999","Eólica","62.767708","0.052327065"
"1999","Gas natural","23071.902","19.23417241"
"1999","Hidro","7690.094","6.410940625"
"1999","Nuclear","7161.0522","5.969898478"
"1999","Otras renovables","546.14624","0.455301472"
"1999","Petróleo","42383.22","35.33328811"
"1999","Solar","2.6769266","0.002231652"
"1999","Total","119952.663","100.0"
"2000","Biocombustibles","132.91783","0.108189467"
"2000","Biomasa tradicional ","12500.0","10.17446902"
"2000","Carbón","27434.627","22.33062099"
"2000","Eólica","92.87796","0.075598714"
"2000","Gas natural","23994.258","19.53030677"
"2000","Hidro","7826.347","6.370314006"
"2000","Nuclear","7322.6826","5.960352579"
"2000","Otras renovables","571.651","0.465299631"
"2000","Petróleo","42978.04","34.98229891"
"2000","Solar","3.1327264","0.002549906"
"2000","Total","122856.5341","100.0"
"2001","Biocombustibles","131.35425","0.105967315"
"2001","Biomasa tradicional ","12500.0","10.0841156"
"2001","Carbón","27864.945","22.47946613"
"2001","Eólica","112.75258","0.090960804"
"2001","Gas natural","24316.832","19.6170996"
"2001","Hidro","7575.7827","6.111605483"
"2001","Nuclear","7480.557","6.034784125"
"2001","Otras renovables","593.69916","0.478954477"
"2001","Petróleo","43377.22","34.99367208"
"2001","Solar","4.1827884","0.003374378"
"2001","Total","123957.3255","100.0"
"2002","Biocombustibles","159.00194","0.125879976"
"2002","Biomasa tradicional ","12470.0","9.872353125"
"2002","Carbón","28962.951","22.9296295"
"2002","Eólica","152.89404","0.121044423"
"2002","Gas natural","25030.172","19.81609437"
"2002","Hidro","7665.752","6.068886184"
"2002","Nuclear","7551.0767","5.97809909"
"2002","Otras renovables","639.19446","0.506042777"
"2002","Petróleo","43676.043","34.57781232"
"2002","Solar","5.252374","0.004158243"
"2002","Total","126312.3375","100.0"
"2003","Biocombustibles","178.32689","0.136944871"
"2003","Biomasa tradicional ","12329.0","9.467968116"
"2003","Carbón","31506.16","24.19493214"
"2003","Eólica","183.53348","0.140943234"
"2003","Gas natural","25729.617","19.75887691"
"2003","Hidro","7607.18","5.841879933"
"2003","Nuclear","7350.6562","5.6448843"
"2003","Otras renovables","674.7783","0.51819121"
"2003","Petróleo","44652.22","34.29035569"
"2003","Solar","6.541638","0.005023605"
"2003","Total","130218.0135","100.0"
"2004","Biocombustibles","210.21715","0.154683322"
"2004","Biomasa tradicional ","12160.0","8.947648636"
"2004","Carbón","33685.52","24.78669384"
"2004","Eólica","246.72266","0.181545039"
"2004","Gas natural","26721.139","19.66211866"
"2004","Hidro","8116.5034","5.972337219"
"2004","Nuclear","7635.7695","5.618600539"
"2004","Otras renovables","729.37866","0.53669605"
"2004","Petróleo","46387.812","34.13337523"
"2004","Solar","8.563793","0.006301465"
"2004","Total","135901.6262","100.0"
"2005","Biocombustibles","246.52557","0.176244299"
"2005","Biomasa tradicional ","12076.0","8.633287642"
"2005","Carbón","36183.348","25.86794064"
"2005","Eólica","299.59247","0.214182508"
"2005","Gas natural","27438.281","19.61597982"
"2005","Hidro","8336.344","5.959759493"
"2005","Nuclear","7607.3535","5.438594813"
"2005","Otras renovables","789.99854","0.564780112"
"2005","Petróleo","46887.754","33.5206581"
"2005","Solar","11.99108","0.008572577"
"2005","Total","139877.1882","100.0"
"2006","Biocombustibles","306.51932","0.213738457"
"2006","Biomasa tradicional ","11993.0","8.36281808"
"2006","Carbón","38068.867","26.54573578"
"2006","Eólica","379.86954","0.264886172"
"2006","Gas natural","28161.41","19.63718408"
"2006","Hidro","8599.518","5.996515018"
"2006","Nuclear","7653.7217","5.337003436"
"2006","Otras renovables","841.28894","0.586637735"
"2006","Petróleo","47388.004","33.04404708"
"2006","Solar","16.39757","0.011434161"
